type,title,url,pubdate,h1_count,h1_text,h2_count,word_count,yoast_focus_keyword,yoast_meta_description
page,טופס פרטי מתאמן,https://www.sport4you.co.il/%d7%98%d7%95%d7%a4%d7%a1-%d7%a8%d7%99%d7%a9%d7%95%d7%9d-%d7%9c%d7%90%d7%99%d7%9e%d7%95%d7%9f/,"Mon, 16 Sep 2019 10:42:53 +0000",1,ENDURO - שאלון מתאמן,11,624,,
page,טופס הצהרת בריאות,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/https-docs-google-com-forms-d-1nsumjdnfnua3yhs6wif87kvmj6iuryfjbfozdlcbla8-edit/,"Mon, 16 Sep 2019 13:03:32 +0000",1,טופס הצהרת בריאות למתאמן,0,29,,
page,כרטיס ביקור,https://www.sport4you.co.il/%d7%9b%d7%a8%d7%98%d7%99%d7%a1-%d7%91%d7%99%d7%a7%d7%95%d7%a8-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%9c%d7%a2%d7%a1%d7%a7/,"Tue, 24 Sep 2019 09:06:33 +0000",0,,1,37,כרטיס ביקור דיגיטלי לעסק,כרטיס ביקור דיגיטלי לעסק בתוך 48 שעות כולל אחסון ודף נחיתה - זה הזמן לפרסם את העסק שלך במדיה הדיגיטלית
page,קבוצת הליכה רמת השרון,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%94%d7%9c%d7%99%d7%9b%d7%94-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,"Fri, 27 Sep 2019 08:19:04 +0000",3,קבוצות הליכה רמת השרון | קבוצת הליכה רמת השרון | מסלולי אימון,12,1396,קבוצת הליכה רמת השרון,קבוצת הליכה רמת השרון הוקמה עבורכם מתאמנים הזקוקים לבצע פעילות גופנית קבועה ובאופן מתון וביחס אישי על ידי מאמן מוסמך בעל ניסיון עשיר
page,digital card,https://www.sport4you.co.il/digital-card/,"Sun, 29 Sep 2019 04:22:16 +0000",0,,1,33,,
page,VIDEOבלוג,https://www.sport4you.co.il/video%d7%91%d7%9c%d7%95%d7%92/,"Sat, 19 Oct 2019 11:23:29 +0000",1,"וידאו בלוג - תרגילים וסרטוני הדרכה ריצה , כח",1,21,VIDEOבלוג,גלריה-ווידאו הסברים וטיפים בסרטונים ומאמרים לכל תחום בריצה ואימונים פונקציונליים משלימים עבור כל הרמות מומלץ!
page,אימון אישי אונליין,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f/,"Mon, 04 Nov 2019 16:47:03 +0000",1,אימון אישי אונליין,4,1009,אימון אישי אונליין,אימון אישי אונליין על ידי מאמן אישי הכולל התאמת אימונים בקשת רחבה של מתאמנים- באונליין-דרך נייד או מחשב באפליקצית כושר מובילה
page,מאמן כושר אישי בהרצליה,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%91%d7%94%d7%a8%d7%a6%d7%9c%d7%99%d7%94/,"Mon, 04 Nov 2019 17:21:45 +0000",1,מאמן כושר אישי בהרצליה,4,1175,מאמן כושר אישי בהרצליה,מאמן כושר אישי בהרצליה אימון כושר אישי בהרצליה לשדרוג אורח החיים ושימורו לשנים עם בקרה 24/7 תוצאות מהירות תכנית אימונים עם התאמה אישית למתאמן
page,מאמן כושר אישי בתל אביב,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%91%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,"Mon, 04 Nov 2019 17:25:13 +0000",1,מאמן כושר אישי בתל אביב,4,1128,מאמן כושר אישי בתל אביב,"מאמן כושר אישי מומלץ בתל אביב אימון אישי ליווי ויעוץ הכולל מסגרת של אימוני כושר, ריצה, הליכה, משקולות, TRX , פונקציונלי ותוכנית תזונה מפורטת"
page,מאמן כושר אישי ברמת השרון,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%91%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,"Mon, 04 Nov 2019 17:33:12 +0000",1,מאמן כושר אישי מומלץ ברמת השרון,4,1101,מאמן כושר אישי ברמת השרון,"מאמן כושר אישי ברמת השרון אימון אישי עם בקרת תזונה בדרך הבטוחה להשגת המטרות שלכם עם תכנית אימונים אישית המתאימה למתאמן, עיסוקו, כושרו ובריאותו"
page,מאמן כושר אישי לילדים רמת השרון,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,"Thu, 07 Nov 2019 08:45:33 +0000",1,מאמן כושר אישי לילדים רמת השרון,4,1240,מאמן כושר אישי לילדים רמת השרון,"מאמן כושר אישי מומלץ לילדים רמת השרון שמתמחה באימון ילדים ונוער שרוצים לחזק מיומנויות, הפחתת שעות מסך ושמירה על אורח חיים בריא וחוזק שרירי"
page,מאמן כושר אישי לילדים הרצליה,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%94%d7%a8%d7%a6%d7%9c%d7%99%d7%94/,"Thu, 07 Nov 2019 08:46:04 +0000",1,מאמן כושר אישי לילדים הרצליה,5,1071,מאמן כושר אישי לילדים הרצליה,"מאמן כושר אישי לילדים הרצליה ע""י מאמן מומלץ שיפור הכושר הגופני, מוטוריקה גסה ועדינה, קבלת החלטות, אסטרטגיה, משמעת עצמית והרגלי תזונה נכונה"
page,מאמן כושר אישי לילדים תל אביב,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,"Thu, 07 Nov 2019 08:46:30 +0000",1,מאמן כושר אישי לילדים תל אביב,4,1238,מאמן כושר אישי לילדים תל אביב,"אימון כושר אישי לילדים תל אביב ע""י מאמן כושר מוסמך ובעל ניסיון באימון קבוצות גילאי ילדי גנים, גילאי יסודי, חטיבות ביניים, כיתות ספורט"
page,מאמן כושר אישי למבוגרים גיל השלישי,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%9e%d7%91%d7%95%d7%92%d7%a8%d7%99%d7%9d-%d7%92%d7%99%d7%9c-%d7%94%d7%a9%d7%9c%d7%99%d7%a9%d7%99/,"Thu, 07 Nov 2019 08:47:18 +0000",1,מאמן כושר אישי למבוגרים גיל השלישי,4,1231,מאמן כושר אישי למבוגרים בגיל השלישי,"אימון כושר אישי למבוגרים בגיל השלישי מאמן כושר מותאם הדרכה שוטפת לביצוע אימון מלא באופן עצמאי, חיזוק העצמות,מניעת נפילות,ביצוע פעולות היום יום"
page,מאמן כושר אישי אונליין ONLINE,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f-online/,"Sat, 09 Nov 2019 07:35:06 +0000",1,מאמן כושר אישי אונליין,2,1093,מאמן כושר אישי אונליין ONLINE,"מאמן כושר אישי אונליין ONLINE בקצב שלך עם תוכנית למתחילים ולמתקדמים במחשב, בטלוויזיה או באפליקציה באיכות גבוה ומגוון תרגילים בדרך למטרה שלך"
page,קבוצת ריצה בתל אביב,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,"Sat, 09 Nov 2019 19:56:11 +0000",1,קבוצת ריצה בתל אביב,4,1119,קבוצת ריצה בתל אביב,"קבוצת ריצה בתל אביב מתאמנת בליווי מקצועי ובניית יסודות, טכניקה, ואימוני כח למניעת פציעות וחיזוק שרירי הליבה והשלד, חיטוב והרזיה"
page,קבוצת ריצה ברמת השרון,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,"Sun, 10 Nov 2019 13:30:39 +0000",2,קבוצת ריצה ברמת השרון | מאמרים אחרונים,6,1200,קבוצת ריצה ברמת השרון,"קבוצת ריצה ברמת השרון מתאימה לרמות שונות וגילים שונים ומתקיימת במספר מיקומים - איצטדיון האתלטיקה, פארק הנצח, ים, שביל השדות רמת השרון"
page,User,https://www.sport4you.co.il/user/,"Sat, 23 Nov 2019 20:57:17 +0000",0,,0,2,,
page,Login,https://www.sport4you.co.il/login/,"Sat, 23 Nov 2019 20:57:17 +0000",0,,0,2,,
page,Register,https://www.sport4you.co.il/register/,"Sat, 23 Nov 2019 20:57:17 +0000",0,,0,2,,
page,Members,https://www.sport4you.co.il/members/,"Sat, 23 Nov 2019 20:57:17 +0000",0,,0,2,,
page,Logout,https://www.sport4you.co.il/logout/,"Sat, 23 Nov 2019 20:57:18 +0000",0,,0,0,,
page,Account,https://www.sport4you.co.il/account/,"Sat, 23 Nov 2019 20:57:18 +0000",0,,0,1,,
page,Password Reset,https://www.sport4you.co.il/password-reset/,"Sat, 23 Nov 2019 20:57:18 +0000",0,,0,1,,
page,קבוצת ריצה אונליין,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f/,"Tue, 31 Mar 2020 19:17:52 +0000",1,קבוצת ריצה אונליין,4,1010,קבוצת ריצה אונליין,קבוצת ריצה אונליין עבור קבוצת מתאמנים הכוללת תוכנית מתעדכנת באמצעות אפליקציה חכמה וקבוצת ווצאפ לכל שאלה. כולל ריצה קבוצתית אחת לתקופה
page,תודה שנרשמת  (:,https://www.sport4you.co.il/thank-you/,"Sun, 28 Jun 2020 11:14:19 +0000",0,,1,138,THANK YOU תודה שפנית,"THANK YOU תודה שפנית אליי - הדרך המהירה והבטוחה להרזייה, פיתוח מיומנויות כושר, העלאת מסת שריר ושריפת שומנים, העלאת כושר ויכולת ריצה ללא פציעות"
page,הכנה לכיתת ספורט ברמת השרון,https://www.sport4you.co.il/%d7%94%d7%9b%d7%a0%d7%94-%d7%9c%d7%9b%d7%99%d7%aa%d7%95%d7%aa-%d7%a1%d7%a4%d7%95%d7%a8%d7%98-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,"Mon, 02 Nov 2020 12:44:48 +0000",1,הכנה לכיתות ספורט רמת השרון,4,974,הכנה לכיתות ספורט רמת השרון​,"אימוני הכנה לכיתות ספורט רמת השרון למבחן וחיזוק טכניקה נכונה בכל מקצועות הנמדדים במבחן: קפיצה לרוחק מהמקום ועם הרצה,קפיצה לגובה,ריצת 60 ו-600"
page,תוכנית אימונים ריצה,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%a8%d7%99%d7%a6%d7%94/,"Thu, 10 Feb 2022 09:01:17 +0000",1,תוכנית אימונים ריצה,5,970,תוכנית אימונים ריצה,"תוכנית אימונים ריצה באונליין של תומר אלמוג, מאמן ריצה בעל ניסיון רב ורץ בכיר, מעניק לכל אחד היכולת להשיג את מטרותיו בריצה באופן עצמאי"
page,"תוכנית אימונים 10 ק""מ",https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-10-%d7%a7%d7%9e/,"Thu, 10 Feb 2022 09:04:26 +0000",1,"תוכנית אימונים 10 ק""מ",8,1565,"תוכנית אימונים 10 ק""מ","תוכנית אימונים ריצת 10 ק""מא בליווי אונליין מתאימה לרמת מתחילים ובינוניים שעברו כבר ריצות של 3 ק""מ ורוצים להתקדם בצורה טובה ובטוחה וללא פציעות"
page,תוכנית אימונים ריצה למתחילים,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%a8%d7%99%d7%a6%d7%94-%d7%9c%d7%9e%d7%aa%d7%97%d7%99%d7%9c%d7%99%d7%9d/,"Thu, 10 Feb 2022 09:05:12 +0000",1,תוכנית אימון ריצה למתחילים,6,1312,תוכנית אימון ריצה למתחילים,קבל תוכנית בסיסית בחינם - תוכנית אימון ריצה למתחילים אונליין מתאימה לרמת מתחילים למי שלא רץ בכלל או רץ בעבר הרחוק ורוצה להתקדם עם מאמן
page,תוכנית אימונים חצי מרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%97%d7%a6%d7%99-%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,"Thu, 10 Feb 2022 09:05:41 +0000",1,תוכנית אימונים חצי מרתון,10,1590,תוכנית אימונים חצי מרתון,"תוכנית אימונים חצי מרתון 21.1 ק""מ מיועדת למתאמנים שכבר רצו מרוצי 10 ק""מ וכעת רוצים לעבור לשלב הבא בתןכמנית אימון ריצה אונליין תחת הדרכתי"
page,תוכנית אימונים למרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%9c%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,"Thu, 10 Feb 2022 09:06:03 +0000",1,תוכנית אימון למרתון,8,1426,תוכנית אימונים למרתון,"תוכנית אימונים מרתון 42.2 ק""מ מתאימה לרמת מתקדמים שרצו חצי מרתון ורוצים להתקדם למרתון עם הדרכה מלאה עם מאמן מנוסה בעל ניסיון רב בתחום"
page,תוכנית אימונים אולטרה מרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%90%d7%95%d7%9c%d7%98%d7%a8%d7%94-%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,"Thu, 10 Feb 2022 09:06:32 +0000",1,תוכנית אימונים אולטרה מרתון,7,1309,תוכנית אימונים אולטרה מרתון,"תוכנית אימונים לריצות אולטרה מרתון האימונים מדויקים ומותאמים, כוללים סימולציות תזונה, שטח, גובה מצטבר, הכנה פונקציונלית, ליעד ספציפי"
page,תוכניות אימון ריצה ONLINE,https://www.sport4you.co.il/,"Tue, 15 Mar 2022 10:35:32 +0000",1,תוכנית אימון ריצה אונליין,6,806,תוכנית אימון ריצה אונליין,תוכנית אימון ריצה אונליין מאפשרת לכל אחד להתאמן לבד או במסגרת קבוצתית אונליין ולהגיע להישגים באופן עצמאי עם בקרה וליווי צמוד ומוקפד
page,לוח תחרויות ריצה בארץ ובעולם,https://www.sport4you.co.il/%d7%9c%d7%95%d7%97-%d7%aa%d7%97%d7%a8%d7%95%d7%99%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%90%d7%a8%d7%a5-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d/,"Tue, 15 Mar 2022 14:37:20 +0000",5,לוח מרוצים בארץ ובעולם | תחרויות ריצה בישראל | מרוצים בישראל | מרוצים בעולם | UTMB Events – Sep 2025 to Aug 2026,27,4561,לוח תחרויות ריצה בארץ ובעולם,"לוח תחרויות ריצה בארץ ובעולם מעודכן ומכיל קישור לאתר התחרות וחיפוש נרחב. מירוצי כביש ושטח לכל המרחקים כולל אולטרה מרתון, טריאתלון, איש ברזל"
page,לוח מירוצים בישראל,https://www.sport4you.co.il/%d7%9c%d7%95%d7%97-%d7%9e%d7%99%d7%a8%d7%95%d7%a6%d7%99%d7%9d-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c/,"Thu, 23 Jun 2022 06:15:32 +0000",0,,0,0,לוח מירוצים בישראל,
page,מרתון תל אביב PONTERUNNERS,https://www.sport4you.co.il/ponterunners/,"Mon, 31 Oct 2022 06:40:55 +0000",1,PONTERUNNERS,11,7512,מרתון תל אביב PONTERUNNERS,תוכנית אימונים למרתון תל אביב חברת PONTERA מתאמנים בפארק הרצליה ובתוכנית אונליין הכולל מעקב צמוד באפליקציה ותמיכה בווצאפ
post,אימון גופני לגיל השלישי,https://www.sport4you.co.il/%d7%97%d7%a9%d7%99%d7%91%d7%95%d7%aa-%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%92%d7%95%d7%a4%d7%a0%d7%99%d7%aa-%d7%9c%d7%92%d7%99%d7%9c-%d7%94%d7%a9%d7%9c%d7%99%d7%a9%d7%99/,"Tue, 10 Sep 2019 08:23:12 +0000",0,,0,679,אימון גופני לגיל השלישי,"אימון נכון יכול לשנות חיים, והוא מתאים לכל אחד בגיל השלישי, גם אם מעולם לא התאמן קודם, חיזוק השרירים ושיפור הקואורדינציה, האימון משפיע גם ברמה המנטלית"
post,אימון גופני בשילוב תרגילי התנגדות ומשקולות באימוני ילדים ונוער,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%92%d7%95%d7%a4%d7%a0%d7%99-%d7%91%d7%a9%d7%99%d7%9c%d7%95%d7%91-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%94%d7%aa%d7%a0%d7%92%d7%93%d7%95%d7%aa-%d7%95%d7%9e%d7%a9/,"Tue, 10 Sep 2019 08:31:45 +0000",0,,1,586,,
post,גזרו והדביקו - אימון קצר במשרד  15 דק' לשמירה על הגזרה,https://www.sport4you.co.il/%d7%92%d7%96%d7%a8%d7%95-%d7%95%d7%94%d7%93%d7%91%d7%99%d7%a7%d7%95-%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-15-%d7%93%d7%a7-%d7%9c%d7%a9%d7%9e%d7%99%d7%a8/,"Tue, 10 Sep 2019 08:33:52 +0000",0,,0,4,,
post,ביצוע תרגילי מתיחות לפני ריצה?,https://www.sport4you.co.il/%d7%91%d7%99%d7%a6%d7%95%d7%a2-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%9e%d7%aa%d7%99%d7%97%d7%95%d7%aa-%d7%9c%d7%a4%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/,"Sun, 15 Sep 2019 20:04:55 +0000",0,,0,15,,
post,תרגילי התנגדות,https://www.sport4you.co.il/%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%94%d7%aa%d7%a0%d7%92%d7%93%d7%95%d7%aa/,"Sun, 15 Sep 2019 20:31:49 +0000",1,לורם איפסום,0,224,,
