#,type,title,url,h1_count,word_count,decision
26,עמוד,מאמן כושר אישי לילדים רמת השרון,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,1,1240,שמר - נכתב מחדש עם תוכן עירוני ייחודי
27,עמוד,מאמן כושר אישי לילדים הרצליה,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%94%d7%a8%d7%a6%d7%9c%d7%99%d7%94/,1,1071,שמר - נכתב מחדש עם תוכן עירוני ייחודי
28,עמוד,מאמן כושר אישי לילדים תל אביב,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,1,1238,שמר - נכתב מחדש עם תוכן עירוני ייחודי
29,עמוד,מאמן כושר אישי למבוגרים גיל השלישי,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%9e%d7%91%d7%95%d7%92%d7%a8%d7%99%d7%9d-%d7%92%d7%99%d7%9c-%d7%94%d7%a9%d7%9c%d7%99%d7%a9%d7%99/,1,1231,שמר - נכתב מחדש עם תוכן עירוני ייחודי
30,עמוד,מאמן כושר אישי אונליין ONLINE,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f-online/,1,1093,מחיקה
31,עמוד,קבוצת ריצה בתל אביב,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,1,1119,שמר
32,עמוד,קבוצת ריצה ברמת השרון,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,2,1200,שמר
33,עמוד,קבוצת ריצה אונליין,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f/,1,1010,מחיקה
34,עמוד,הכנה לכיתת ספורט ברמת השרון,https://www.sport4you.co.il/%d7%94%d7%9b%d7%a0%d7%94-%d7%9c%d7%9b%d7%99%d7%aa%d7%95%d7%aa-%d7%a1%d7%a4%d7%95%d7%a8%d7%98-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,1,974,שמר
35,עמוד,תוכנית אימונים ריצה,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%a8%d7%99%d7%a6%d7%94/,1,970,מיזוג -> #41 (תוכניות אימון ריצה ONLINE)
36,עמוד,"תוכנית אימונים 10 ק""מ",https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-10-%d7%a7%d7%9e/,1,1565,שמר
37,עמוד,תוכנית אימונים ריצה למתחילים,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%a8%d7%99%d7%a6%d7%94-%d7%9c%d7%9e%d7%aa%d7%97%d7%99%d7%9c%d7%99%d7%9d/,1,1312,שמר
38,עמוד,תוכנית אימונים חצי מרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%97%d7%a6%d7%99-%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,1,1590,שמר
39,עמוד,תוכנית אימונים למרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%9c%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,1,1426,שמר
40,עמוד,תוכנית אימונים אולטרה מרתון,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%90%d7%95%d7%9c%d7%98%d7%a8%d7%94-%d7%9e%d7%a8%d7%aa%d7%95%d7%9f/,1,1309,שמר
41,עמוד,תוכניות אימון ריצה ONLINE,https://www.sport4you.co.il/,1,806,שמר
42,עמוד,לוח תחרויות ריצה בארץ ובעולם,https://www.sport4you.co.il/%d7%9c%d7%95%d7%97-%d7%aa%d7%97%d7%a8%d7%95%d7%99%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%90%d7%a8%d7%a5-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d/,5,4561,שמר
43,עמוד,לוח מירוצים בישראל,https://www.sport4you.co.il/%d7%9c%d7%95%d7%97-%d7%9e%d7%99%d7%a8%d7%95%d7%a6%d7%99%d7%9d-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c/,0,0,שמר בנפרד (לא ממוזג)
44,עמוד,מרתון תל אביב PONTERUNNERS,https://www.sport4you.co.il/ponterunners/,1,7512,שמר
45,עמוד,ריצות שטח והרים,https://www.sport4you.co.il/%d7%a8%d7%99%d7%a6%d7%95%d7%aa-%d7%a9%d7%98%d7%97-%d7%95%d7%94%d7%a8%d7%99%d7%9d/,0,57,שמר
46,פוסט בלוג,אימון גופני לגיל השלישי,https://www.sport4you.co.il/%d7%97%d7%a9%d7%99%d7%91%d7%95%d7%aa-%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%92%d7%95%d7%a4%d7%a0%d7%99%d7%aa-%d7%9c%d7%92%d7%99%d7%9c-%d7%94%d7%a9%d7%9c%d7%99%d7%a9%d7%99/,0,679,שמר
47,פוסט בלוג,אימון גופני בשילוב תרגילי התנגדות ומשקולות באימוני ילדים ונוער,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%92%d7%95%d7%a4%d7%a0%d7%99-%d7%91%d7%a9%d7%99%d7%9c%d7%95%d7%91-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%94%d7%aa%d7%a0%d7%92%d7%93%d7%95%d7%aa-%d7%95%d7%9e%d7%a9/,0,586,שמר
48,פוסט בלוג,גזרו והדביקו - אימון קצר במשרד  15 דק' לשמירה על הגזרה,https://www.sport4you.co.il/%d7%92%d7%96%d7%a8%d7%95-%d7%95%d7%94%d7%93%d7%91%d7%99%d7%a7%d7%95-%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-15-%d7%93%d7%a7-%d7%9c%d7%a9%d7%9e%d7%99%d7%a8/,0,4,מחיקה
49,פוסט בלוג,ביצוע תרגילי מתיחות לפני ריצה?,https://www.sport4you.co.il/%d7%91%d7%99%d7%a6%d7%95%d7%a2-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%9e%d7%aa%d7%99%d7%97%d7%95%d7%aa-%d7%9c%d7%a4%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/,0,15,שמר
50,פוסט בלוג,תרגילי התנגדות,https://www.sport4you.co.il/%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99-%d7%94%d7%aa%d7%a0%d7%92%d7%93%d7%95%d7%aa/,1,224,שמר
51,פוסט בלוג,אימון הליכה-שורפים קלוריות ומתחטבים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%94%d7%9c%d7%99%d7%9b%d7%94-%d7%a9%d7%95%d7%a8%d7%a4%d7%99%d7%9d-%d7%a7%d7%9c%d7%95%d7%a8%d7%99%d7%95%d7%aa-%d7%95%d7%9e%d7%aa%d7%97%d7%98%d7%91%d7%99%d7%9d/,0,14,מחיקה
52,פוסט בלוג,אימון הליכה לדוגמא - חיזוק את המערכת האירובית והשרירים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%94%d7%9c%d7%99%d7%9b%d7%94-%d7%9c%d7%93%d7%95%d7%92%d7%9e%d7%90-%d7%97%d7%99%d7%96%d7%95%d7%a7-%d7%90%d7%aa-%d7%94%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%90%d7%99/,0,0,מחיקה
53,פוסט בלוג,חיזוק צפיפות העצם - הכרחי ונגיש באמצעות אימון הליכה,https://www.sport4you.co.il/%d7%97%d7%99%d7%96%d7%95%d7%a7-%d7%a6%d7%a4%d7%99%d7%a4%d7%95%d7%aa-%d7%94%d7%a2%d7%a6%d7%9d-%d7%94%d7%9b%d7%a8%d7%97%d7%99-%d7%95%d7%a0%d7%92%d7%99%d7%a9-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa/,0,3,מחיקה
54,פוסט בלוג,קבוצת ריצה ברמת השרון מתחילים,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%91%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f-%d7%9e%d7%aa%d7%97%d7%99%d7%9c%d7%99%d7%9d/,0,0,שמר
55,פוסט בלוג,אימון כושר ביתי בצל קורונה,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%91%d7%99%d7%aa%d7%99-%d7%91%d7%a6%d7%9c-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94/,0,101,מחיקה
56,פוסט בלוג,"השלכות הקורונה על ילדים -""ילדי הזום""",https://www.sport4you.co.il/%d7%94%d7%a9%d7%9c%d7%9b%d7%95%d7%aa-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94-%d7%a2%d7%9c-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%99%d7%9c%d7%93%d7%99-%d7%94%d7%96%d7%95%d7%9d/,0,0,מחיקה
57,פוסט בלוג,חיסוני קורונה והשפעתם על פעילות גופנית ריצה וכושר - תמונת מצב,https://www.sport4you.co.il/%d7%97%d7%99%d7%a1%d7%95%d7%9f-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94-%d7%95%d7%94%d7%94%d7%a9%d7%a4%d7%a2%d7%94-%d7%a2%d7%9c-%d7%91%d7%99%d7%a6%d7%95%d7%a2-%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%92/,0,0,מחיקה
58,פוסט בלוג,מחקר חדש: פעילות גופנית מסייעת בהתמודדות ילדים עם הפרעות קשב וריכוז,https://www.sport4you.co.il/%d7%9e%d7%97%d7%a7%d7%a8-%d7%97%d7%93%d7%a9-%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%92%d7%95%d7%a4%d7%a0%d7%99%d7%aa-%d7%9e%d7%a1%d7%99%d7%99%d7%a2%d7%aa-%d7%91%d7%94%d7%aa%d7%9e%d7%95%d7%93%d7%93/,0,1,שמר
59,פוסט בלוג,אתלטיקט פרטים,https://www.sport4you.co.il/%d7%aa%d7%95%d7%9e%d7%a8-%d7%90%d7%aa%d7%9c%d7%98%d7%99%d7%a7%d7%98/,0,0,מחיקה
60,פוסט בלוג,בינה מלאכותית AI באימוני הריצה,https://www.sport4you.co.il/%d7%91%d7%99%d7%a0%d7%94-%d7%9e%d7%9c%d7%90%d7%9b%d7%95%d7%aa%d7%99%d7%aa-ai-%d7%91%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%94%d7%a8%d7%99%d7%a6%d7%94/,0,0,שמר
61,פוסט בלוג,אימון כושר ביתי עם גומיה,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%91%d7%99%d7%aa%d7%99-%d7%a2%d7%9d-%d7%92%d7%95%d7%9e%d7%99%d7%94/,0,0,שמר
62,פוסט בלוג,השפעת מוזיקה על פעילות גופנית עצימה,https://www.sport4you.co.il/%d7%94%d7%a9%d7%a4%d7%a2%d7%aa-%d7%9e%d7%95%d7%96%d7%99%d7%a7%d7%94-%d7%a2%d7%9c-%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%92%d7%95%d7%a4%d7%a0%d7%99%d7%aa-%d7%a2%d7%a6%d7%99%d7%9e%d7%94-%d7%95%d7%91/,0,636,שמר
